"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"467","Korea, Dem. Rep. (North)",1973,9.4,47.76,1.98,11.97,NA
"468","Korea, Rep. (South)",1973,14.03,19.02,7.46,26.75,NA
"469","Kuwait",1973,7.06,3.12,2.18,3.88,NA
"470","Kyrgyzstan",1973,NA,NA,NA,NA,NA
"471","Laos",1973,NA,NA,NA,NA,NA
"472","Latvia",1973,NA,NA,NA,NA,NA
"473","Lebanon",1973,1.9,1.57,1.59,1.26,NA
"474","Lesotho",1973,NA,NA,NA,NA,NA
"475","Liberia",1973,NA,NA,NA,NA,NA
"476","Libya",1973,2.94,0.84,1.62,0.38,NA
"477","Lithuania",1973,NA,NA,NA,NA,NA
"478","Luxembourg",1973,3.26,10.93,0.68,1.54,NA
"479","Macedonia, FYR",1973,1.9386,1.812,0.9572,0.2772,NA
"480","Madagascar",1973,NA,NA,NA,NA,NA
"481","Malawi",1973,NA,NA,NA,NA,NA
"482","Malaysia",1973,2.96,4.79,4.63,0.55,NA
"483","Maldives",1973,NA,NA,NA,NA,NA
"484","Mali",1973,NA,NA,NA,NA,NA
"485","Malta",1973,0.42,0,0.24,0.12,NA
"486","Mauritania",1973,NA,NA,NA,NA,NA
"487","Mauritius",1973,0.06,0.03,0.17,0.06,NA
"488","Mexico",1973,34.86,36.65,36.18,13.63,NA
"489","Moldova",1973,NA,NA,NA,NA,NA
"490","Mongolia",1973,NA,NA,NA,NA,NA
"491","Montenegro",1973,NA,NA,NA,NA,NA
"492","Morocco",1973,2.02,3.3,1.98,1.3,NA
"493","Mozambique",1973,0.49,1.36,0.3,0.58,NA
"494","Myanmar",1973,0.42,1.02,1.29,0.77,NA
"495","Namibia",1973,NA,NA,NA,NA,NA
"496","Nauru",1973,NA,NA,NA,NA,NA
"497","Nepal",1973,0.03,0.18,0.07,0.11,NA
"498","Netherlands",1973,46.7,38.88,19.01,48.09,NA
"499","New Zealand",1973,3.22,5.19,5.66,2.61,NA
"500","Nicaragua",1973,0.39,0.25,0.81,0.2,NA
"501","Niger",1973,NA,NA,NA,NA,NA
"502","Nigeria",1973,1.55,2.37,4.12,1.15,NA
"503","Niue",1973,NA,NA,NA,NA,NA
"504","Norway",1973,0.48,10.22,6.69,6.57,NA
"505","Oman",1973,0.04,0.03,0.11,0.1,NA
"506","Pakistan",1973,2.9,6.84,3.27,4.7,NA
"507","Palau",1973,NA,NA,NA,NA,NA
"508","Panama",1973,1.53,0.44,0.89,0.11,NA
"509","Papua New Guinea",1973,NA,NA,NA,NA,NA
"510","Paraguay",1973,0.08,0.09,0.48,0.04,NA
"511","Peru",1973,2.77,4.67,6.17,2.79,NA
"512","Philippines",1973,7.95,6.55,9.73,3.08,NA
"513","Poland",1973,163.43,59.27,29.16,60.25,NA
"514","Portugal",1973,3.4,5.38,4.75,2.74,NA
"515","Qatar",1973,1.74,1.34,0.33,0.02,NA
"516","Romania",1973,51.11,41.99,8.64,27.43,NA
"517","Russian Federation",1973,NA,NA,NA,NA,NA
"518","Rwanda",1973,NA,NA,NA,NA,NA
"519","Saint Kitts & Nevis",1973,NA,NA,NA,NA,NA
"520","Saint Lucia",1973,NA,NA,NA,NA,NA
"521","Saint Vincent & Grenadines",1973,NA,NA,NA,NA,NA
"522","Samoa",1973,NA,NA,NA,NA,NA
"523","Sao Tome & Principe",1973,NA,NA,NA,NA,NA
"524","Saudi Arabia",1973,8.93,3.63,4.31,0.71,NA
"525","Senegal",1973,0.45,0.35,0.51,0.07,NA
"526","Serbia",1973,12.7474,10.0448,3.4069,2.8538,NA
"527","Seychelles",1973,NA,NA,NA,NA,NA
"528","Sierra Leone",1973,NA,NA,NA,NA,NA
"529","Singapore",1973,5.64,0.46,1.77,0.26,NA
"530","Slovakia",1973,10.41,18.55,4.87,7.67,NA
"531","Slovenia",1973,1.8134,3.0521,2.0551,1.1322,NA
"532","Solomon Islands",1973,NA,NA,NA,NA,NA
"533","South Africa",1973,77.67,53.32,29.86,16.92,NA
"534","Spain",1973,36.07,56.17,32.07,16.04,NA
"535","Sri Lanka",1973,0.48,0.55,1.62,0.86,NA
"536","Sudan",1973,0.2,1.72,2.44,0.25,NA
"537","Suriname",1973,NA,NA,NA,NA,NA
"538","Swaziland",1973,NA,NA,NA,NA,NA
"539","Sweden",1973,8.45,25.61,15.02,34.93,NA
"540","Switzerland",1973,2.33,9.83,9.89,20.92,NA
"541","Syria",1973,1.34,1.35,1.71,1.05,NA
"542","Tajikistan",1973,NA,NA,NA,NA,NA
"543","Tanzania",1973,0.3,0.45,0.8,0.24,NA
"544","Thailand",1973,4.52,5.36,7.12,3.75,NA
"545","Togo",1973,0.07,0,0.2,0.04,NA
"546","Tonga",1973,NA,NA,NA,NA,NA
"547","Trinidad & Tobago",1973,4.23,0.99,1.11,0.18,NA
"548","Tunisia",1973,1.09,1.1,1.05,0.93,NA
"549","Turkey",1973,12.33,11.72,13.68,14.66,NA
"550","Turkmenistan",1973,NA,NA,NA,NA,NA
"551","Uganda",1973,NA,NA,NA,NA,NA
"552","Ukraine",1973,NA,NA,NA,NA,NA
"553","United Arab Emirates",1973,0.53,1.92,0.76,0,NA
"554","United Kingdom",1973,272.14,161.35,81.25,121.92,NA
"555","United States",1973,1664.17,966.56,1200.35,866.58,NA
"556","Uruguay",1973,1.16,1.47,1.78,0.91,NA
"557","Uzbekistan",1973,NA,NA,NA,NA,NA
"558","Vanuatu",1973,NA,NA,NA,NA,NA
"559","Venezuela",1973,30.1,14.51,14.42,3.58,NA
"560","Vietnam",1973,2.1,0.03,2.77,12.48,NA
"561","World",1973,5167.02,4169.11,3201.42,3095.14,NA
"562","Yemen",1973,0.44,0,1.23,0.17,NA
"563","Zambia",1973,0.41,2.74,0.73,0.32,NA
"564","Zimbabwe",1973,1.24,3.19,2.24,1.33,NA
"565","Afghanistan",1974,NA,NA,NA,NA,NA
"566","Albania",1974,0.81,1.13,0.82,1.38,NA
"567","Algeria",1974,4.17,2.35,3.25,2.66,NA
"568","Angola",1974,0.51,0.39,1.29,0.13,NA
"569","Antigua & Barbuda",1974,NA,NA,NA,NA,NA
"570","Argentina",1974,28.66,17.28,26.32,15.34,NA
"571","Armenia",1974,NA,NA,NA,NA,NA
"572","Australia",1974,76.19,47.42,38.76,10.93,NA
"573","Austria",1974,11.07,16.11,10.47,13.61,NA
"574","Azerbaijan",1974,NA,NA,NA,NA,NA
"575","Bahamas, The",1974,NA,NA,NA,NA,NA
"576","Bahrain",1974,2.78,2.06,0.27,0.04,NA
"577","Bangladesh",1974,1.08,1.9,0.49,0.96,NA
"578","Barbados",1974,NA,NA,NA,NA,NA
"579","Belarus",1974,NA,NA,NA,NA,NA
"580","Belgium",1974,41.28,44.17,12.43,32.69,NA
"581","Belize",1974,NA,NA,NA,NA,NA
"582","Benin",1974,0.01,0.01,0.32,0.08,NA
"583","Bhutan",1974,NA,NA,NA,NA,NA
"584","Bolivia",1974,0.45,0.54,1.24,0.5,NA
"585","Bosnia & Herzegovina",1974,2.3339,5.9901,1.7446,2.8143,NA
"586","Botswana",1974,NA,NA,NA,NA,NA
"587","Brazil",1974,13.97,41.33,61.44,10.89,NA
"588","Brunei",1974,0.95,0.07,0.1,0.02,NA
"589","Bulgaria",1974,24.98,10.72,4.6,27.36,NA
"590","Burkina Faso",1974,NA,NA,NA,NA,NA
"591","Burundi",1974,NA,NA,NA,NA,NA
"592","Cambodia",1974,NA,NA,NA,NA,NA
"593","Cameroon",1974,0.04,0.11,0.62,0.06,NA
"594","Canada",1974,83.07,102.74,101.51,98.76,NA
"595","Cape Verde",1974,NA,NA,NA,NA,NA
"596","Central African Republic",1974,NA,NA,NA,NA,NA
"597","Chad",1974,NA,NA,NA,NA,NA
"598","Chile",1974,5.17,6.37,5.16,2.84,NA
"599","China",1974,156.28,469.38,60.98,234.33,NA
"600","Colombia",1974,6.58,10.25,8.51,5.42,NA
"601","Comoros",1974,NA,NA,NA,NA,NA
"602","Congo, Dem. Rep.",1974,0.08,0.83,0.53,1.2,NA
"603","Congo, Rep.",1974,0.06,0.12,0.38,0.05,NA
"604","Cook Islands",1974,NA,NA,NA,NA,NA
"605","Costa Rica",1974,0.27,0.31,0.9,0.08,NA
"606","Cote d'Ivoire",1974,0.69,0.86,0.94,0.29,NA
"607","Croatia",1974,3.4046,6.7528,3.8265,2.027,NA
"608","Cuba",1974,5.74,9.42,4.28,3.88,NA
"609","Cyprus",1974,0.77,0.36,0.54,0.1,NA
"610","Czech Republic",1974,41.72,65.64,6.03,32.88,NA
"611","Denmark",1974,14.69,7.32,7.84,20,NA
"612","Djibouti",1974,NA,NA,NA,NA,NA
"613","Dominica",1974,NA,NA,NA,NA,NA
"614","Dominican Republic",1974,2.35,0.77,1.65,0.17,NA
"615","Ecuador",1974,1.2,0.73,2.22,1.07,NA
"616","Egypt",1974,3.35,10.26,5.07,5.19,NA
"617","El Salvador",1974,0.45,0.52,0.68,0.13,NA
"618","Equatorial Guinea",1974,NA,NA,NA,NA,NA
"619","Eritrea",1974,NA,NA,NA,NA,NA
"620","Estonia",1974,NA,NA,NA,NA,NA
"621","Ethiopia",1974,0.34,0.3,0.6,0.1,NA
"622","European Union (15)",1974,1088.3,899.64,422.07,755.19,NA
"623","European Union (28)",1974,1423.0203,1129.2918,488.3424,931.3319,NA
"624","Fiji",1974,NA,NA,NA,NA,NA
"625","Finland",1974,11.09,16.54,6.96,9.92,NA
"626","France",1974,124.66,138.64,71.06,130.24,NA
"627","Gabon",1974,0.06,0.41,0.04,0.05,NA
"628","Gambia, The",1974,NA,NA,NA,NA,NA
"629","Georgia",1974,NA,NA,NA,NA,NA
"630","Germany",1974,409.39,270.65,101.76,246.74,NA
"631","Ghana",1974,0.18,0.46,1.13,0.45,NA
"632","Greece",1974,13.19,8.54,5.03,5.89,NA
"633","Grenada",1974,NA,NA,NA,NA,NA
"634","Guatemala",1974,0.58,0.85,1.01,0.29,NA
"635","Guinea",1974,NA,NA,NA,NA,NA
"636","Guinea-Bissau",1974,NA,NA,NA,NA,NA
"637","Guyana",1974,NA,NA,NA,NA,NA
"638","Haiti",1974,0.01,0.2,0.17,0.02,NA
"639","Honduras",1974,0.17,0.38,0.5,0.19,NA
"640","Hungary",1974,25.25,18.78,7.46,17.26,NA
"641","Iceland",1974,0.06,0.39,0.34,0.87,NA
"642","India",1974,60.87,78.76,49.71,36.57,NA
"643","Indonesia",1974,8.58,6.4,10.52,9.74,NA
"644","Iran",1974,15.58,16.59,11.98,18.02,NA
"645","Iraq",1974,4.62,2.16,3.38,2.67,NA
"646","Ireland",1974,7.28,5.34,3.47,6.55,NA
"647","Israel",1974,7.64,3.49,3.44,1.88,NA
"648","Italy",1974,96.41,108.6,51.29,78.62,NA
"649","Jamaica",1974,2.2,3.19,1.48,0.51,NA
"650","Japan",1974,342.47,310.53,119.61,122.11,NA
"651","Jordan",1974,0.46,0.16,0.81,0.37,NA
"652","Kazakhstan",1974,NA,NA,NA,NA,NA
"653","Kenya",1974,0.51,0.73,1.62,0.71,NA
"654","Kiribati",1974,NA,NA,NA,NA,NA
"655","Korea, Dem. Rep. (North)",1974,10.29,49.04,2.46,12.31,NA
"656","Korea, Rep. (South)",1974,15.76,20.1,7.02,27.88,NA
"657","Kuwait",1974,7,2.96,2.06,3.67,NA
"658","Kyrgyzstan",1974,NA,NA,NA,NA,NA
"659","Laos",1974,NA,NA,NA,NA,NA
"660","Latvia",1974,NA,NA,NA,NA,NA
"661","Lebanon",1974,1.74,1.41,1.77,1.51,NA
"662","Lesotho",1974,NA,NA,NA,NA,NA
"663","Liberia",1974,NA,NA,NA,NA,NA
"664","Libya",1974,3.29,1.02,2.05,0.42,NA
"665","Lithuania",1974,NA,NA,NA,NA,NA
"666","Luxembourg",1974,2.7,10.35,0.67,1.4,NA
"667","Macedonia, FYR",1974,1.8722,1.9467,1.0601,0.366,NA
"668","Madagascar",1974,NA,NA,NA,NA,NA
"669","Malawi",1974,NA,NA,NA,NA,NA
"670","Malaysia",1974,3.4,6,4.87,0.85,NA
"671","Maldives",1974,NA,NA,NA,NA,NA
"672","Mali",1974,NA,NA,NA,NA,NA
"673","Malta",1974,0.4,0,0.21,0.11,NA
"674","Mauritania",1974,NA,NA,NA,NA,NA
"675","Mauritius",1974,0.1,0.05,0.19,0.06,NA
"676","Mexico",1974,37.86,40.17,39.42,14.26,NA
"677","Moldova",1974,NA,NA,NA,NA,NA
"678","Mongolia",1974,NA,NA,NA,NA,NA
"679","Montenegro",1974,NA,NA,NA,NA,NA
"680","Morocco",1974,2.2,3.79,1.99,1.42,NA
"681","Mozambique",1974,0.46,1.3,0.2,0.67,NA
"682","Myanmar",1974,0.46,1.27,1.56,0.8,NA
"683","Namibia",1974,NA,NA,NA,NA,NA
"684","Nauru",1974,NA,NA,NA,NA,NA
"685","Nepal",1974,0.03,0.19,0.06,0.09,NA
"686","Netherlands",1974,45.79,39.62,17.67,42.76,NA
"687","New Zealand",1974,3.47,5.23,6.2,2.47,NA
"688","Nicaragua",1974,0.44,0.29,0.87,0.21,NA
"689","Niger",1974,NA,NA,NA,NA,NA
"690","Nigeria",1974,1.75,2.34,4.5,1.28,NA
"691","Niue",1974,NA,NA,NA,NA,NA
"692","Norway",1974,0.76,10.69,6.75,5,NA
"693","Oman",1974,0.09,0.04,0.18,0.15,NA
"694","Pakistan",1974,3.56,7.19,3.4,4.52,NA
"695","Palau",1974,NA,NA,NA,NA,NA
"696","Panama",1974,1.53,0.45,0.92,0.11,NA
"697","Papua New Guinea",1974,NA,NA,NA,NA,NA
"698","Paraguay",1974,0.09,0.08,0.46,0.04,NA
"699","Peru",1974,2.87,4.87,5.96,3.93,NA
"700","Philippines",1974,7.87,5.96,9.26,3.04,NA
"701","Poland",1974,172.23,60.54,29.3,62.47,NA
"702","Portugal",1974,3.62,5.83,4.71,2.46,NA
"703","Qatar",1974,1.48,1.09,0.39,0.02,NA
"704","Romania",1974,53.63,44.4,7.23,24.63,NA
"705","Russian Federation",1974,NA,NA,NA,NA,NA
"706","Rwanda",1974,NA,NA,NA,NA,NA
"707","Saint Kitts & Nevis",1974,NA,NA,NA,NA,NA
"708","Saint Lucia",1974,NA,NA,NA,NA,NA
"709","Saint Vincent & Grenadines",1974,NA,NA,NA,NA,NA
"710","Samoa",1974,NA,NA,NA,NA,NA
"711","Sao Tome & Principe",1974,NA,NA,NA,NA,NA
"712","Saudi Arabia",1974,10.67,3.89,4.87,0.76,NA
"713","Senegal",1974,0.45,0.44,0.5,0.07,NA
"714","Serbia",1974,12.3136,10.7915,3.7729,3.7679,NA
"715","Seychelles",1974,NA,NA,NA,NA,NA
"716","Sierra Leone",1974,NA,NA,NA,NA,NA
"717","Singapore",1974,5.9,0.66,1.72,0.25,NA
"718","Slovakia",1974,10.58,19.18,4.8,7.81,NA
"719","Slovenia",1974,1.7557,3.2789,2.2759,1.4948,NA
"720","Solomon Islands",1974,NA,NA,NA,NA,NA
"721","South Africa",1974,85.61,53.44,27.99,17.17,NA
"722","Spain",1974,44.71,56.57,34.79,15.61,NA
"723","Sri Lanka",1974,0.23,0.52,1.44,0.67,NA
"724","Sudan",1974,0.2,1.53,2.5,0.11,NA
"725","Suriname",1974,NA,NA,NA,NA,NA
"726","Swaziland",1974,NA,NA,NA,NA,NA
"727","Sweden",1974,9.87,23.93,14.94,28.39,NA
"728","Switzerland",1974,2.05,8.91,9.47,18.12,NA
"729","Syria",1974,1.22,3.54,1.91,0.92,NA
"730","Tajikistan",1974,NA,NA,NA,NA,NA
"731","Tanzania",1974,0.26,0.35,0.75,0.23,NA
"732","Thailand",1974,4.45,4.7,6.52,4.98,NA
"733","Togo",1974,0.06,0,0.18,0.02,NA
"734","Tonga",1974,NA,NA,NA,NA,NA
"735","Trinidad & Tobago",1974,3.99,1.34,0.88,0.14,NA
"736","Tunisia",1974,1.19,1.34,1.17,1.02,NA
"737","Turkey",1974,13.7,11.87,14.2,15.12,NA
"738","Turkmenistan",1974,NA,NA,NA,NA,NA
"739","Uganda",1974,NA,NA,NA,NA,NA
"740","Ukraine",1974,NA,NA,NA,NA,NA
"741","United Arab Emirates",1974,0.69,1.66,1,0,NA
"742","United Kingdom",1974,252.55,147.43,78.98,120.31,NA
"743","United States",1974,1632.51,911.1,1172.21,832.45,NA
"744","Uruguay",1974,1.16,1.46,1.63,0.9,NA
"745","Uzbekistan",1974,NA,NA,NA,NA,NA
"746","Vanuatu",1974,NA,NA,NA,NA,NA
"747","Venezuela",1974,28.75,14.38,16.95,3.54,NA
"748","Vietnam",1974,1.79,0.09,2.26,10.14,NA
"749","World",1974,5247.63,4179.99,3171.01,3014.31,NA
"750","Yemen",1974,0.39,0,1.23,0.2,NA
"751","Zambia",1974,0.47,2.75,0.68,0.32,NA
"752","Zimbabwe",1974,1.96,2.43,1.91,1.34,NA
"753","Afghanistan",1975,NA,NA,NA,NA,NA
"754","Albania",1975,0.79,1.1,0.85,1.72,NA
"755","Algeria",1975,5.13,2.35,3.62,2.94,NA
"756","Angola",1975,0.43,0.36,1.09,0.11,NA
"757","Antigua & Barbuda",1975,NA,NA,NA,NA,NA
"758","Argentina",1975,28.14,16.22,25.06,16.07,NA
"759","Armenia",1975,NA,NA,NA,NA,NA
"760","Australia",1975,80.71,47.48,40.3,11.54,NA
"761","Austria",1975,11.12,14.92,10.55,13.58,NA
"762","Azerbaijan",1975,NA,NA,NA,NA,NA
"763","Bahamas, The",1975,NA,NA,NA,NA,NA
"764","Bahrain",1975,2.78,2.13,0.36,0.05,NA
"765","Bangladesh",1975,1.02,1.81,0.62,1.21,NA
"766","Barbados",1975,NA,NA,NA,NA,NA
"767","Belarus",1975,NA,NA,NA,NA,NA
"768","Belgium",1975,32.45,35.73,13.29,34.12,NA
"769","Belize",1975,NA,NA,NA,NA,NA
"770","Benin",1975,0.01,0.02,0.35,0.08,NA
"771","Bhutan",1975,NA,NA,NA,NA,NA
"772","Bolivia",1975,0.51,0.67,1.49,0.54,NA
"773","Bosnia & Herzegovina",1975,2.5436,5.8006,1.6882,2.9165,NA
"774","Botswana",1975,NA,NA,NA,NA,NA
"775","Brazil",1975,14.57,44.18,65.43,11.48,NA
"776","Brunei",1975,1.22,0.07,0.1,0.02,NA
"777","Bulgaria",1975,27.01,10.72,4.54,29.9,NA
"778","Burkina Faso",1975,NA,NA,NA,NA,NA
"779","Burundi",1975,NA,NA,NA,NA,NA
"780","Cambodia",1975,NA,NA,NA,NA,NA
"781","Cameroon",1975,0.04,0.13,0.74,0.12,NA
"782","Canada",1975,87.78,93.36,103.4,93.4,NA
"783","Cape Verde",1975,NA,NA,NA,NA,NA
"784","Central African Republic",1975,NA,NA,NA,NA,NA
"785","Chad",1975,NA,NA,NA,NA,NA
"786","Chile",1975,4.66,5.27,4.48,2.57,NA
"787","China",1975,188.33,539.49,68.24,272.39,NA
"788","Colombia",1975,5.51,8.76,9.21,4.84,NA
"789","Comoros",1975,NA,NA,NA,NA,NA
"790","Congo, Dem. Rep.",1975,0.07,0.81,0.56,1.14,NA
"791","Congo, Rep.",1975,0.06,0.11,0.39,0.05,NA
"792","Cook Islands",1975,NA,NA,NA,NA,NA
"793","Costa Rica",1975,0.28,0.39,0.98,0.08,NA
"794","Cote d'Ivoire",1975,0.7,0.99,1,0.32,NA
"795","Croatia",1975,4.3242,6.5392,3.7027,2.1006,NA
"796","Cuba",1975,6.53,8.59,4.53,4.3,NA
"797","Cyprus",1975,0.7,0.44,0.44,0.1,NA
"798","Czech Republic",1975,44.53,66.16,6.67,35.23,NA
"799","Denmark",1975,16.63,7.55,8.57,19.73,NA
"800","Djibouti",1975,NA,NA,NA,NA,NA
"801","Dominica",1975,NA,NA,NA,NA,NA
"802","Dominican Republic",1975,2.59,0.65,1.73,0.19,NA
"803","Ecuador",1975,1.28,0.79,2.63,1.22,NA
"804","Egypt",1975,4.11,12.1,4.58,5.26,NA
"805","El Salvador",1975,0.6,0.54,0.75,0.12,NA
"806","Equatorial Guinea",1975,NA,NA,NA,NA,NA
"807","Eritrea",1975,NA,NA,NA,NA,NA
"808","Estonia",1975,NA,NA,NA,NA,NA
"809","Ethiopia",1975,0.34,0.24,0.52,0.08,NA
"810","European Union (15)",1975,1031.68,813.75,435.71,749.28,NA
"811","European Union (28)",1975,1376.3526,1059.9043,504.2451,935.8097,NA
"812","Fiji",1975,NA,NA,NA,NA,NA
"813","Finland",1975,11.47,14.31,7.47,11.13,NA
"814","France",1975,114.97,120.07,73.29,122.3,NA
"815","Gabon",1975,0.08,0.58,0.04,0.06,NA
"816","Gambia, The",1975,NA,NA,NA,NA,NA
"817","Georgia",1975,NA,NA,NA,NA,NA
"818","Germany",1975,381.82,246.87,105.42,241.39,NA
"819","Ghana",1975,0.17,0.51,1.21,0.45,NA
"820","Greece",1975,14.62,8.68,5.07,6.17,NA
"821","Grenada",1975,NA,NA,NA,NA,NA
"822","Guatemala",1975,0.84,0.71,1.14,0.35,NA
"823","Guinea",1975,NA,NA,NA,NA,NA
"824","Guinea-Bissau",1975,NA,NA,NA,NA,NA
"825","Guyana",1975,NA,NA,NA,NA,NA
"826","Haiti",1975,0.01,0.17,0.2,0.02,NA
"827","Honduras",1975,0.19,0.4,0.52,0.21,NA
"828","Hungary",1975,28.1,18.34,7.55,16.73,NA
"829","Iceland",1975,0.06,0.3,0.38,0.87,NA
"830","India",1975,66.71,86.45,51.51,37.05,NA
"831","Indonesia",1975,7.07,8.18,11.53,11.19,NA
"832","Iran",1975,17.19,18.45,14.83,21.09,NA
"833","Iraq",1975,5.22,2.89,4.31,3.1,NA
"834","Ireland",1975,6.93,4.49,3.45,6.29,NA
"835","Israel",1975,7.91,3.69,3.53,1.92,NA
"836","Italy",1975,91.42,94.61,54.41,79.13,NA
"837","Jamaica",1975,1.27,4.16,1.18,0.8,NA
"838","Japan",1975,330.76,280.53,124.79,120.21,NA
"839","Jordan",1975,0.5,0.19,1,0.43,NA
"840","Kazakhstan",1975,NA,NA,NA,NA,NA
"841","Kenya",1975,0.51,0.74,1.49,0.73,NA
"842","Kiribati",1975,NA,NA,NA,NA,NA
"843","Korea, Dem. Rep. (North)",1975,11.19,50.29,2.78,12.49,NA
"844","Korea, Rep. (South)",1975,20.47,20.57,7.12,28.6,NA
"845","Kuwait",1975,7.06,2.68,2.01,3.32,NA
"846","Kyrgyzstan",1975,NA,NA,NA,NA,NA
"847","Laos",1975,NA,NA,NA,NA,NA
"848","Latvia",1975,NA,NA,NA,NA,NA
"849","Lebanon",1975,1.48,1.24,1.47,1.47,NA
"850","Lesotho",1975,NA,NA,NA,NA,NA
"851","Liberia",1975,NA,NA,NA,NA,NA
"852","Libya",1975,4.36,1.65,2.62,0.56,NA
"853","Lithuania",1975,NA,NA,NA,NA,NA
"854","Luxembourg",1975,1.99,7.93,0.84,1.34,NA
"855","Macedonia, FYR",1975,2.0405,1.8851,1.0258,0.3792,NA
"856","Madagascar",1975,NA,NA,NA,NA,NA
"857","Malawi",1975,NA,NA,NA,NA,NA
"858","Malaysia",1975,4.06,5.89,5.12,1.03,NA
"859","Maldives",1975,NA,NA,NA,NA,NA
"860","Mali",1975,NA,NA,NA,NA,NA
"861","Malta",1975,0.37,0,0.18,0.09,NA
"862","Mauritania",1975,NA,NA,NA,NA,NA
"863","Mauritius",1975,0.1,0.05,0.2,0.06,NA
"864","Mexico",1975,35.46,44.26,42.24,16.79,NA
"865","Moldova",1975,NA,NA,NA,NA,NA
"866","Mongolia",1975,NA,NA,NA,NA,NA
"867","Montenegro",1975,NA,NA,NA,NA,NA
"868","Morocco",1975,2.74,3.51,2.14,1.56,NA
"869","Mozambique",1975,0.39,1.2,0.17,0.58,NA
"870","Myanmar",1975,0.53,1.5,1.36,0.6,NA
"871","Namibia",1975,NA,NA,NA,NA,NA
"872","Nauru",1975,NA,NA,NA,NA,NA
"873","Nepal",1975,0.03,0.11,0.07,0.11,NA
"874","Netherlands",1975,42.19,33.7,19.02,45.87,NA
"875","New Zealand",1975,2.44,4.65,6.53,2.77,NA
"876","Nicaragua",1975,0.49,0.25,0.89,0.21,NA
"877","Niger",1975,NA,NA,NA,NA,NA
"878","Nigeria",1975,2.15,2.77,5.35,1.47,NA
"879","Niue",1975,NA,NA,NA,NA,NA
"880","Norway",1975,1.4,10.16,7.91,4.62,NA
"881","Oman",1975,0.14,0.05,0.25,0.28,NA
"882","Pakistan",1975,4.03,7.85,3.82,5.2,NA
"883","Palau",1975,NA,NA,NA,NA,NA
"884","Panama",1975,1.64,0.42,0.94,0.13,NA
"885","Papua New Guinea",1975,NA,NA,NA,NA,NA
"886","Paraguay",1975,0.08,0.09,0.47,0.05,NA
"887","Peru",1975,2.9,5.74,6.33,3.45,NA
"888","Philippines",1975,8.65,7.45,9.7,3.23,NA
"889","Poland",1975,177.96,62.47,30.53,67.23,NA
"890","Portugal",1975,4.45,5.81,5.34,2.53,NA
"891","Qatar",1975,2.46,1.98,0.44,0.02,NA
"892","Romania",1975,48.84,57.68,8.55,25.49,NA
"893","Russian Federation",1975,NA,NA,NA,NA,NA
"894","Rwanda",1975,NA,NA,NA,NA,NA
"895","Saint Kitts & Nevis",1975,NA,NA,NA,NA,NA
"896","Saint Lucia",1975,NA,NA,NA,NA,NA
"897","Saint Vincent & Grenadines",1975,NA,NA,NA,NA,NA
"898","Samoa",1975,NA,NA,NA,NA,NA
"899","Sao Tome & Principe",1975,NA,NA,NA,NA,NA
"900","Saudi Arabia",1975,11.55,4.13,5.97,0.84,NA
"901","Senegal",1975,0.66,0.32,0.54,0.08,NA
"902","Serbia",1975,13.4233,10.45,3.6509,3.9046,NA
"903","Seychelles",1975,NA,NA,NA,NA,NA
"904","Sierra Leone",1975,NA,NA,NA,NA,NA
"905","Singapore",1975,5.72,0.68,1.84,0.22,NA
"906","Slovakia",1975,10.92,20.63,4.17,8.11,NA
"907","Slovenia",1975,1.9184,3.1752,2.2023,1.5491,NA
"908","Solomon Islands",1975,NA,NA,NA,NA,NA
"909","South Africa",1975,96.9,55.75,30.93,17.93,NA
"910","Spain",1975,50.6,53.41,35.94,16.55,NA
"911","Sri Lanka",1975,0.19,0.48,1.3,0.64,NA
"912","Sudan",1975,0.2,0.84,2.14,0.11,NA
"913","Suriname",1975,NA,NA,NA,NA,NA
"914","Swaziland",1975,NA,NA,NA,NA,NA
"915","Sweden",1975,6.47,24.79,15.41,32.73,NA
"916","Switzerland",1975,2.02,8.08,8.98,17.6,NA
"917","Syria",1975,1.16,4.06,2.49,1.33,NA
"918","Tajikistan",1975,NA,NA,NA,NA,NA
"919","Tanzania",1975,0.32,0.27,0.74,0.17,NA
"920","Thailand",1975,4.54,5.13,6.89,4.61,NA
"921","Togo",1975,0.04,0,0.24,0.02,NA
"922","Tonga",1975,NA,NA,NA,NA,NA
"923","Trinidad & Tobago",1975,3.33,1.47,0.89,0.15,NA
"924","Tunisia",1975,1.24,1.29,1.24,1.03,NA
"925","Turkey",1975,14.43,13.58,16.19,15,NA
"926","Turkmenistan",1975,NA,NA,NA,NA,NA
"927","Uganda",1975,NA,NA,NA,NA,NA
"928","Ukraine",1975,NA,NA,NA,NA,NA
"929","United Arab Emirates",1975,1,2.25,1.63,0,NA
"930","United Kingdom",1975,244.55,140.88,77.64,116.42,NA
"931","United States",1975,1568.43,784.66,1187.02,820.72,NA
"932","Uruguay",1975,1.45,1.52,1.65,0.85,NA
"933","Uzbekistan",1975,NA,NA,NA,NA,NA
"934","Vanuatu",1975,NA,NA,NA,NA,NA
"935","Venezuela",1975,25.31,14.69,19.11,3.7,NA
"936","Vietnam",1975,2.09,0.06,2.26,12.3,NA
